MEXP,D.D,POS1,SL1,SL2,SR1,SR2,MSK1,MSK2,MSK3,MSK4,PARITY1,PARITY2,PARITY3,PARITY4,ALTI_SL2_PERM,,,,,,,,,,,,,,,,ALTI_SL2_PERM64,,,,,,,,,,,,,,,,ALTI_SR2_PERM,,,,,,,,,,,,,,,,ALTI_SR2_PERM64,,,,,,,,,,,,,,,
19937,4188,122,18,1,11,1,dfffffef,ddfecb7f,bffaffff,bffffff6,00000001,00000000,00000000,13c9e684,1,2,3,23,5,6,7,0,9,10,11,4,13,14,15,8,1,2,3,4,5,6,7,31,9,10,11,12,13,14,15,0,7,0,1,2,11,4,5,6,15,8,9,10,17,12,13,14,15,0,1,2,3,4,5,6,17,8,9,10,11,12,13,14
19937,3281,73,11,3,4,1,efefffff,ef7dfffb,bcfffeff,fdffffc7,00000001,00000000,00000000,fbdf63e3,3,21,21,21,7,0,1,2,11,4,5,6,15,8,9,10,3,4,5,6,7,29,29,29,11,12,13,14,15,0,1,2,7,0,1,2,11,4,5,6,15,8,9,10,17,12,13,14,15,0,1,2,3,4,5,6,17,8,9,10,11,12,13,14
19937,3316,60,10,3,3,1,effdbfff,dfffffff,efffbfef,ffef77ff,00000001,00000000,00000000,dc0d7984,3,21,21,21,7,0,1,2,11,4,5,6,15,8,9,10,3,4,5,6,7,29,29,29,11,12,13,14,15,0,1,2,7,0,1,2,11,4,5,6,15,8,9,10,17,12,13,14,15,0,1,2,3,4,5,6,17,8,9,10,11,12,13,14
19937,3352,45,14,3,5,5,aefefbbd,feffffff,d7edffff,f7fdffbe,00000001,00000000,00000000,0116914c,3,21,21,21,7,0,1,2,11,4,5,6,15,8,9,10,3,4,5,6,7,29,29,29,11,12,13,14,15,0,1,2,11,4,5,6,15,8,9,10,29,12,13,14,29,29,29,29,11,12,13,14,15,0,1,2,21,21,21,21,21,8,9,10
19937,3829,135,18,1,1,1,ffffdffe,fffefffb,bfbfffff,fffffdff,00000001,00000000,40000000,978e01e2,1,2,3,23,5,6,7,0,9,10,11,4,13,14,15,8,1,2,3,4,5,6,7,31,9,10,11,12,13,14,15,0,7,0,1,2,11,4,5,6,15,8,9,10,17,12,13,14,15,0,1,2,3,4,5,6,17,8,9,10,11,12,13,14
19937,3909,120,18,1,1,1,ffefef5d,ff25ff7d,eebfefee,fabfdfff,00000001,00000000,02000000,c9bbd290,1,2,3,23,5,6,7,0,9,10,11,4,13,14,15,8,1,2,3,4,5,6,7,31,9,10,11,12,13,14,15,0,7,0,1,2,11,4,5,6,15,8,9,10,17,12,13,14,15,0,1,2,3,4,5,6,17,8,9,10,11,12,13,14
19937,3935,33,14,3,5,1,fdff7ffd,fbffee71,fb3ff7df,deffffff,00000001,00000000,00000000,8f2cf308,3,21,21,21,7,0,1,2,11,4,5,6,15,8,9,10,3,4,5,6,7,29,29,29,11,12,13,14,15,0,1,2,7,0,1,2,11,4,5,6,15,8,9,10,17,12,13,14,15,0,1,2,3,4,5,6,17,8,9,10,11,12,13,14
19937,3948,122,12,3,3,5,fef73bff,65eb7ff7,76ffffff,bfdeffeb,00000001,00000000,40000000,2bbdd900,3,21,21,21,7,0,1,2,11,4,5,6,15,8,9,10,3,4,5,6,7,29,29,29,11,12,13,14,15,0,1,2,11,4,5,6,15,8,9,10,29,12,13,14,29,29,29,29,11,12,13,14,15,0,1,2,21,21,21,21,21,8,9,10
19937,4059,64,10,3,13,1,fff8bfff,ffffffff,5fffffbf,ef7ff21e,00000001,00000000,00000000,db186980,3,21,21,21,7,0,1,2,11,4,5,6,15,8,9,10,3,4,5,6,7,29,29,29,11,12,13,14,15,0,1,2,7,0,1,2,11,4,5,6,15,8,9,10,17,12,13,14,15,0,1,2,3,4,5,6,17,8,9,10,11,12,13,14
19937,4151,29,21,1,2,1,5fffffdf,ffffcfff,bdffdefe,fdfdffbf,00000001,00000000,00000000,21a2acc8,1,2,3,23,5,6,7,0,9,10,11,4,13,14,15,8,1,2,3,4,5,6,7,31,9,10,11,12,13,14,15,0,7,0,1,2,11,4,5,6,15,8,9,10,17,12,13,14,15,0,1,2,3,4,5,6,17,8,9,10,11,12,13,14
