1;Aalart;0
2;Aalef;0
3;Aalot;0
4;Abantes;0
5;Abarrotz;0
6;Abas;0
7;Abascantus;0
8;Abbo;0
9;Abdalonymus;0
10;Abderos;0
11;Abelard;0
12;Aberardus;0
13;Aberkios;0
14;Aberri;0
15;Abimilki;0
16;Abisme;0
17;Ablabius;0
18;Ablerus;0
19;Abramius;0
20;Abreas;0
21;Abronychus;0
22;Absolon;0
23;Abundanitus;0
24;Abydos;0
25;Acaeus;0
26;Acamus;0
27;Acelin;0
28;Acessamenus;0
29;Acestes;0
30;Achard;0
31;Achart;0
32;Achestan;0
33;Achila;0
34;Achololim;0
35;Acindynus;0
36;Aclepiades;0
37;Acot;0
38;Acrisias;0
39;Acrisius;0
40;Acroneos;0
41;Actor;0
42;Acun;0
43;Acur;0
44;Adalbero;0
45;Adalbert;0
46;Adalbrecht;0
47;Adaldag;0
48;Adalfuns;0
49;Adalhard;0
50;Adaloald;0
51;Adame;0
52;Adei;0
53;Adeimanthos;0
54;Adelard;0
55;Adelardus;0
56;Adelchis;0
57;Adelphius;0
58;Adelredus;0
59;Adelroth;0
60;Adelstan;0
61;Adeluin;0
62;Adelulf;0
63;Adenot;0
64;Aderlard;0
65;Adestan;0
66;Adhamar;0
67;Adlard;0
68;Admago;0
69;Admetos;0
70;Adon;0
71;Adranus;0
72;Adrastos;0
73;Adrastus;0
74;Adred;0
75;Adrestus;0
76;Adri;0
77;Adrianus;0
78;Adrien;0
79;Adso;0
80;Adstan;0
81;Adur;0
82;Aeaces;0
83;Aeduin;0
84;Aeduuard;0
85;Aeduuin;0
86;Aega;0
87;Aegaeon;0
88;Aegelmaer;0
89;Aegicoros;0
90;Aegidius;0
91;Aegisthes;0
92;Aegon;0
93;Aeilmar;0
94;Aeimnestos;0
95;Aeldredus;0
96;Aeldret;0
97;Aelfraed;0
98;Aelgar;0
99;Aelger;0
100;Aelmar;0
101;Aelmer;0
102;Aeluin;0
103;Aeluuin;0
104;Aenesidemos;0
105;Aeolus;0
106;Aeropus;0
107;Aeschreas;0
108;Aesculapius;0
109;Aesepus;0
110;Aeson;0
111;Aesop;0
112;Aetes;0
113;Aethelmaer;0
114;Aethelraed;0
115;Aethon;0
116;Aetion;0
117;Aetios;0
118;Aetolos;0
119;Agamedes;0
120;Agamemnon;0
121;Aganbold;0
122;Agapenor;0
123;Agapetus;0
124;Agapias;0
125;Agastrophos;0
126;Agathocles;0
127;Agathon;0
128;Agbal;0
129;Ageio;0
130;Agelaus;0
131;Agenor;0
132;Ager;0
133;Agesilaus;0
134;Agetos;0
135;Agid;0
136;Agila;0
137;Agilbert;0
138;Agilof;0
139;Agilulf;0
140;Agin;0
141;Agino;0
142;Agis;0
143;Agiwulf;0
144;Agnellus;0
145;Agnien;0
146;Agobard;0
147;Agosti;0
148;Agoztar;0
149;Agrias;0
150;Agriwulf;0
151;Agu;0
152;Ahthari;0
153;Ahu;0
154;Aiantes;0
155;Aias;0
156;Aide;0
157;Aidoingus;0
158;Aiert;0
159;Aigeus;0
160;Aignen;0
161;Aigo;0
162;Aigulf;0
163;Ailbert;0
164;Ailbric;0
165;Ailbriht;0
166;Ailmar;0
167;Ailmer;0
168;Ailred;0
169;Ailuin;0
170;Ailwin;0
171;Ailwinus;0
172;Aimar;0
173;Aime;0
174;Aimeri;0
175;Aimeric;0
176;Aimeriguet;0
177;Aimery;0
178;Aingeru;0
179;Aintza;0
180;Aioro;0
181;Aire;0
182;Airopos;0
183;Aischylos;0
184;Aistan;0
185;Aistulf;0
186;Aita;0
187;Aithanarid;0
188;Aitor;0
189;Aitzol;0
190;Akadios;0
191;Akamas;0
192;Aketza;0
193;Aktis;0
194;Aktor;0
195;Akuhata;0
196;Alahis;0
197;Alain;0
198;Alainon;0
199;Alaire;0
200;Alana;0
201;Alane;0
202;Alanus;0
203;Alaon;0
204;Alar;0
205;Alarabi;0
206;Alard;0
207;Alarge;0
208;Alaric;0
209;Alaricus;0
210;Alart;0
211;Alastor;0
212;Alatheus;0
213;Alatz;0
214;Alaviv;0
215;Alazas;0
216;Alberi;0
217;Alberic;0
218;Albericus;0
219;Albertus;0
220;Albgast;0
221;Albi;0
222;Albin;0
223;Albinus;0
224;Albirich;0
225;Alboin;0
226;Albrict;0
227;Alcaeos;0
228;Alcandros;0
229;Alcher;0
230;Alcides;0
231;Alcimos;0
232;Alcinous;0
233;Alcmaion;0
234;Alcman;0
235;Alcock;0
236;Alcon;0
237;Aldebrand;0
238;Aldemund;0
239;Alderan;0
240;Aldin;0
241;Aldis;0
242;Aldo;0
243;Aldredus;0
244;Aldret;0
245;Alduin;0
246;Aldun;0
247;Aldus;0
248;Aldyn;0
249;Aleaume;0
250;Aleaumin;0
251;Alec;0
252;Aleck;0
253;Alector;0
254;Alein;0
255;Alektryon;0
256;Alerot;0
